"B" "Entropy" "Alpha" "Type" "Meeting" "Bsd" "Entropysd" "Alphasd"
"1" -0.164473038122006 0.907704477036182 0.484425487498763 "Observed" "EN2002b" 0.1277185288123 0.380140057048469 0.125999906102106
"2" -0.090304629882077 0.861695557938927 0.473721482483348 "Observed" "EN2002a" 0.100717901672781 0.319238144847051 0.159184425848232
"3" -0.154265686124425 0.796927430944176 0.370076754724598 "Observed" "EN2001b" 0.101088596921811 0.448352280841768 0.162223269322813
"4" -0.0748031210192233 1.2981960356816 0.546832542293084 "Observed" "EN2001d" 0.124041049104939 0.609058428985451 0.108260182794976
"5" -0.0199351176035429 1.74076044013274 0.593542945245131 "Observed" "EN2001e" 0.157377523733296 0.696747009074885 0.163977255460539
"6" 0.0539095438561422 2.14478909805011 0.636173157837913 "Observed" "EN2001a" 0.176777406358888 0.712302936246017 0.136475090295726
"7" -0.131952847105236 0.647617912224617 0.191513254613895 "Random" "EN2002b" 0.0389304353831229 0.0470076934006931 0.0858567030575335
"8" -0.0709953056657838 0.665659527954702 0.119716607031357 "Random" "EN2002a" 0.0361485209567148 0.0635040323833312 0.0972391984413604
"9" -0.13080984947044 0.600786890524807 0.209314672183969 "Random" "EN2001b" 0.0326959200773273 0.0597220057085773 0.121059172149888
"10" -0.0490844259865657 0.630019323604511 0.0968448437044091 "Random" "EN2001d" 0.0359388349833589 0.0683608369936539 0.112705579482345
"11" -0.0169259262678971 0.708722707876105 0.0854076878004763 "Random" "EN2001e" 0.0364492816811316 0.0824381845797381 0.137795302538272
"12" 0.0818638567636366 0.852357949773584 0.0134585294473458 "Random" "EN2001a" 0.0407317851516245 0.109200527588551 0.14590736296797
"13" -0.596618691699408 1.67480997601484 0.00687488807412484 "Isochronous" "EN2002b" 0.0282799758930955 0.0622999339391614 0.0721849176431366
"14" -0.530929953253086 1.82769467786121 0.0171476830186236 "Isochronous" "EN2002a" 0.00722817243524414 0.0638925811534991 0.0833459308784806
"15" -0.602323312199067 2.00800378374176 0.0476167699924198 "Isochronous" "EN2001b" 0.0307691201912759 0.109840316599118 0.107424355458837
"16" -0.569059126982306 1.5639469815015 0.0314978494095378 "Isochronous" "EN2001d" 0.0567825370747053 0.0813361106295183 0.177513365367704
"17" -0.530929953253086 1.83626549732641 0.0157108463036103 "Isochronous" "EN2001e" 0.0083297459675678 0.059809072409866 0.0747319286608319
"18" -0.476110068678722 1.99624027290472 -0.0317538245346284 "Isochronous" "EN2001a" 0.0120467113397577 0.128742363740988 0.11406841468087
